epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,154.361,1.7169,2.47794,1.45113,0.31469,0.52127,0.37945,0.20558,1.33988,2.79657,1.16811,0.000332504,0.000332504,0.0670821
2,297.681,1.71787,1.97846,1.51197,0.50432,0.53415,0.49049,0.24908,1.33127,8.07489,1.17498,0.000665583,0.000665583,0.0340818
3,414.217,1.70408,1.87406,1.51992,0.66866,0.61796,0.62356,0.33503,1.26088,1.6238,1.0965,0.000997646,0.000997646,0.00108056
4,529.935,1.68782,1.77313,1.52048,0.59897,0.63807,0.64605,0.34819,1.28939,1.46349,1.14759,0.000996569,0.000996569,0.000996569
5,646.04,1.65334,1.74653,1.50194,0.61739,0.65752,0.63812,0.35604,1.26116,1.19702,1.10645,0.000993906,0.000993906,0.000993906
6,762.377,1.61506,1.56888,1.47812,0.7112,0.57919,0.65142,0.34826,1.26497,1.23167,1.13157,0.000990489,0.000990489,0.000990489
7,878.095,1.59612,1.50137,1.47105,0.71338,0.64893,0.68166,0.36275,1.32572,1.17045,1.17938,0.000986323,0.000986323,0.000986323
8,994.076,1.54385,1.43941,1.44745,0.62446,0.69147,0.66707,0.35033,1.28992,1.35232,1.1707,0.000981415,0.000981415,0.000981415
9,1109.8,1.54986,1.32943,1.45808,0.68387,0.73932,0.72281,0.39494,1.27568,1.05582,1.12724,0.000975773,0.000975773,0.000975773
10,1225.84,1.52382,1.31741,1.42413,0.69139,0.70216,0.6863,0.36513,1.26566,1.37118,1.15675,0.000969405,0.000969405,0.000969405
11,1341.72,1.5049,1.30266,1.41684,0.74827,0.69232,0.72479,0.38426,1.30436,1.0716,1.16963,0.00096232,0.00096232,0.00096232
12,1457.54,1.50168,1.24854,1.39363,0.71862,0.6884,0.72385,0.38816,1.29359,1.09737,1.13672,0.000954531,0.000954531,0.000954531
13,1573.34,1.47955,1.18175,1.41114,0.62466,0.74128,0.71192,0.40052,1.26143,0.96594,1.14358,0.000946048,0.000946048,0.000946048
14,1689.37,1.449,1.2271,1.39504,0.72065,0.68706,0.70684,0.37384,1.28257,0.97406,1.15838,0.000936886,0.000936886,0.000936886
15,1805.44,1.4259,1.1421,1.38115,0.72435,0.70114,0.75104,0.41413,1.24942,0.86825,1.16011,0.000927057,0.000927057,0.000927057
16,1921.31,1.42418,1.08953,1.39755,0.76058,0.73894,0.77905,0.41582,1.28609,0.86005,1.17494,0.000916577,0.000916577,0.000916577
17,2037.21,1.39413,1.04974,1.38116,0.71262,0.71081,0.73803,0.40233,1.27316,0.83535,1.16853,0.000905463,0.000905463,0.000905463
18,2152.92,1.39801,1.0349,1.38455,0.73785,0.6914,0.75927,0.41456,1.28923,0.83099,1.17613,0.000893732,0.000893732,0.000893732
19,2268.85,1.38746,1.02361,1.3725,0.76805,0.6773,0.73629,0.40218,1.27835,0.81802,1.15565,0.000881401,0.000881401,0.000881401
20,2384.72,1.3453,1.01421,1.32575,0.69309,0.74039,0.73545,0.4065,1.28867,0.86675,1.18299,0.00086849,0.00086849,0.00086849
21,2501.09,1.32331,0.95503,1.34006,0.73079,0.73785,0.75919,0.39895,1.31949,0.9541,1.20245,0.000855018,0.000855018,0.000855018
22,2623.46,1.32618,0.9657,1.32773,0.71307,0.71356,0.74629,0.40781,1.27826,0.82858,1.18184,0.000841006,0.000841006,0.000841006
23,2739.27,1.32924,0.96837,1.32873,0.70695,0.7236,0.74725,0.41583,1.26694,0.85581,1.17165,0.000826477,0.000826477,0.000826477
24,2854.87,1.28237,0.89617,1.31235,0.6595,0.76803,0.73734,0.41057,1.25978,0.83597,1.16953,0.000811452,0.000811452,0.000811452
25,2970.45,1.25637,0.86343,1.28361,0.74395,0.70316,0.75656,0.42364,1.25593,0.82378,1.17355,0.000795954,0.000795954,0.000795954
26,3086.32,1.26302,0.86094,1.28866,0.74095,0.70583,0.74851,0.40867,1.29081,0.86691,1.19356,0.000780007,0.000780007,0.000780007
27,3202.07,1.24547,0.87633,1.28197,0.75804,0.73707,0.766,0.42059,1.27813,0.78881,1.17995,0.000763637,0.000763637,0.000763637
28,3317.95,1.24185,0.85651,1.29353,0.74038,0.7453,0.75688,0.4287,1.25507,0.82974,1.19891,0.000746868,0.000746868,0.000746868
29,3433.86,1.21261,0.83837,1.27364,0.7959,0.73026,0.76963,0.42084,1.29724,0.7771,1.22279,0.000729725,0.000729725,0.000729725
30,3549.53,1.19931,0.83111,1.24343,0.70602,0.75989,0.75742,0.42294,1.27065,0.79599,1.1977,0.000712237,0.000712237,0.000712237
31,3669.01,1.16829,0.78597,1.2298,0.73069,0.76703,0.76075,0.4043,1.30267,0.81766,1.23608,0.000694428,0.000694428,0.000694428
32,3784.49,1.14572,0.74171,1.22662,0.72999,0.72607,0.76579,0.41397,1.27692,0.80533,1.20068,0.000676328,0.000676328,0.000676328
33,3899.99,1.15303,0.76577,1.22004,0.75653,0.64546,0.71884,0.391,1.30013,0.8344,1.21464,0.000657963,0.000657963,0.000657963
34,4015.81,1.14081,0.73889,1.21499,0.69828,0.72942,0.72755,0.39259,1.31785,0.84062,1.21111,0.000639363,0.000639363,0.000639363
35,4159.37,1.0875,0.69963,1.19341,0.74407,0.70999,0.73988,0.39682,1.31491,0.81461,1.23864,0.000620555,0.000620555,0.000620555
36,4307.96,1.06205,0.68024,1.16569,0.78127,0.68725,0.75624,0.4102,1.31882,0.86021,1.23928,0.00060157,0.00060157,0.00060157
37,4432.53,1.06336,0.67744,1.17319,0.76367,0.68624,0.75079,0.40802,1.29157,0.8173,1.24029,0.000582435,0.000582435,0.000582435
38,4546.2,1.05653,0.67192,1.17221,0.65543,0.74599,0.73774,0.39989,1.32782,0.86315,1.26639,0.000563181,0.000563181,0.000563181
39,4659.1,1.05189,0.66265,1.16399,0.72897,0.73863,0.74098,0.39974,1.32207,0.80069,1.27445,0.000543837,0.000543837,0.000543837
40,4772.56,1.02083,0.64709,1.15901,0.7493,0.70213,0.73598,0.39728,1.31509,0.87201,1.28067,0.000524434,0.000524434,0.000524434
41,4901.39,1.01182,0.6273,1.14647,0.75929,0.70617,0.72465,0.39634,1.31391,0.81616,1.26544,0.000505,0.000505,0.000505
42,5031.26,0.98236,0.61733,1.13678,0.71459,0.71077,0.72745,0.40453,1.31426,0.8784,1.25507,0.000485566,0.000485566,0.000485566
43,5144.27,0.96161,0.58961,1.12713,0.75247,0.72085,0.74009,0.40823,1.30161,0.86814,1.27203,0.000466163,0.000466163,0.000466163
44,5258.25,0.96918,0.59352,1.12526,0.76537,0.71084,0.75354,0.41113,1.30098,0.79305,1.252,0.000446819,0.000446819,0.000446819
45,5372.6,0.93978,0.56982,1.10853,0.78896,0.66969,0.75507,0.41287,1.32211,0.81715,1.29254,0.000427565,0.000427565,0.000427565
46,5487,0.92315,0.55598,1.09994,0.71801,0.73945,0.75317,0.40911,1.30641,0.81157,1.26332,0.00040843,0.00040843,0.00040843
