epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.6886,1.48527,1.14893,1.23511,0.70996,0.80643,0.81252,0.47579,1.40382,0.84976,1.19889,0.000551962,0.000551962,0.000551962
2,41.2598,1.44075,1.03723,1.24607,0.67648,0.68617,0.77011,0.44167,1.39667,1.01438,1.20472,0.00106377,0.00106377,0.00106377
3,60.9568,1.44225,1.06516,1.23432,0.74313,0.64052,0.78677,0.45324,1.49935,1.01712,1.25403,0.00153156,0.00153156,0.00153156
4,80.0013,1.39782,1.01762,1.20916,0.66599,0.7803,0.78169,0.35753,1.80734,0.94503,1.42957,0.00146896,0.00146896,0.00146896
5,99.1514,1.40582,0.97576,1.19377,0.77083,0.78982,0.84273,0.42263,1.68283,0.86785,1.32228,0.00140295,0.00140295,0.00140295
6,118.549,1.40017,0.94736,1.20158,0.75235,0.78771,0.78977,0.4494,1.50148,0.9269,1.25686,0.00133693,0.00133693,0.00133693
7,137.864,1.3524,0.89317,1.19504,0.77454,0.79247,0.81021,0.42842,1.61308,0.86701,1.33049,0.00127092,0.00127092,0.00127092
8,156.506,1.31815,0.8643,1.16733,0.80254,0.71362,0.81583,0.44841,1.54455,0.89591,1.28769,0.00120491,0.00120491,0.00120491
9,175.017,1.31557,0.86194,1.16916,0.75883,0.81719,0.83713,0.44372,1.59532,0.85497,1.28973,0.00113889,0.00113889,0.00113889
10,193.557,1.31009,0.81799,1.17343,0.79877,0.76611,0.8389,0.49073,1.45652,0.81386,1.21151,0.00107288,0.00107288,0.00107288
11,211.966,1.27781,0.83501,1.13906,0.76851,0.85809,0.84653,0.49703,1.47002,0.78863,1.23573,0.00100687,0.00100687,0.00100687
12,230.719,1.28377,0.84968,1.15639,0.79404,0.83283,0.85374,0.5064,1.40087,0.81706,1.20522,0.000940855,0.000940855,0.000940855
13,249.361,1.2215,0.8127,1.13491,0.82231,0.82078,0.8495,0.50881,1.40628,0.7784,1.19856,0.000874842,0.000874842,0.000874842
14,268.676,1.23674,0.79441,1.13304,0.81873,0.80758,0.82933,0.49682,1.469,0.80591,1.23989,0.000808828,0.000808828,0.000808828
15,287.877,1.26209,0.7699,1.13263,0.83237,0.77143,0.82869,0.46974,1.54591,0.80372,1.28637,0.000742815,0.000742815,0.000742815
16,306.641,1.18787,0.68405,1.14175,0.83135,0.80873,0.84955,0.51665,1.35015,0.77423,1.182,0.000676802,0.000676802,0.000676802
17,325.682,1.16296,0.68812,1.1285,0.84739,0.75452,0.83543,0.51753,1.34241,0.80257,1.1701,0.000610789,0.000610789,0.000610789
18,344.877,1.153,0.6618,1.11609,0.75502,0.80368,0.84196,0.49512,1.42963,0.79739,1.22457,0.000544776,0.000544776,0.000544776
19,363.607,1.13132,0.63426,1.11012,0.85795,0.73906,0.84636,0.50301,1.41539,0.79849,1.20261,0.000478762,0.000478762,0.000478762
20,382.196,1.09037,0.59629,1.09177,0.8474,0.77502,0.85113,0.50577,1.39675,0.75542,1.20352,0.000412749,0.000412749,0.000412749
21,400.353,1.11247,0.60832,1.09849,0.84485,0.77618,0.87017,0.53523,1.36068,0.73591,1.18849,0.000346736,0.000346736,0.000346736
22,418.588,1.08228,0.60439,1.08637,0.84814,0.80271,0.87023,0.53224,1.35182,0.72914,1.18996,0.000280723,0.000280723,0.000280723
23,436.584,1.06284,0.57394,1.07639,0.83697,0.78025,0.86078,0.53561,1.33243,0.73761,1.18034,0.00021471,0.00021471,0.00021471
24,454.924,1.07899,0.56817,1.08834,0.85525,0.75938,0.84609,0.51097,1.40002,0.77829,1.21199,0.000148696,0.000148696,0.000148696
25,472.918,1.05891,0.58111,1.07058,0.83678,0.76541,0.84803,0.52758,1.32704,0.75704,1.17613,8.26832e-05,8.26832e-05,8.26832e-05
